# variables	time_frequency	indicator_1	indicator_2	indicator_3	indicator_4	indicator_5	indicator_6	dataset_id	index_node	data_node	
zos,zosNobs,zosStderr	mon	green	green	green	green	yellow	light_gray	obs4mips.CNES.AVISO.zos.mon.v20110829|esgf-data.jpl.nasa.gov	esgf-node.jpl.nasa.gov	esgf-data.jpl.nasa.gov
ua,va	mon	green	green	green	green	yellow	light_gray	obs4MIPs.ECMWF.ERA-interim.atmos.mon.v20160614|esgf.nccs.nasa.gov	esgf.nccs.nasa.gov	esgf.nccs.nasa.gov
prw	mon	green	green	green	green	yellow	light_gray	obs4MIPs.FUB-DWD.SSMI-MERIS.prw.mon.v20140616|esgf1.dkrz.de	esgf-data.dkrz.de	esgf1.dkrz.de
cfad2Lidarsr532	mon	green	green	orange	yellow	Orange	black	obs4MIPs.IPSL.CFMIP-Obs-CALIPSO.cfad2Lidarsr532.mon.v20110323|vesg.ipsl.polytechnique.fr	esgf-node.ipsl.upmc.fr	vesg.ipsl.polytechnique.fr
cfad2Lidarsr532	mon_day_time	green	green	orange	yellow	Orange	black	obs4MIPs.IPSL.CFMIP-Obs-CALIPSO.cfad2Lidarsr532.mon_day_time.v20110323|vesg.ipsl.polytechnique.fr	esgf-node.ipsl.upmc.fr	vesg.ipsl.polytechnique.fr
cfad2Lidarsr532	mon_night_time	green	green	orange	yellow	Orange	black	obs4MIPs.IPSL.CFMIP-Obs-CALIPSO.cfad2Lidarsr532.mon_night_time.v20110323|vesg.ipsl.polytechnique.fr	esgf-node.ipsl.upmc.fr	vesg.ipsl.polytechnique.fr
cfadLidarsr532	mon	green	green	orange	yellow	Orange	black	obs4MIPs.IPSL.CFMIP-Obs-CALIPSO.cfadLidarsr532.mon.v20110323|vesg.ipsl.polytechnique.fr	esgf-node.ipsl.upmc.fr	vesg.ipsl.polytechnique.fr
cfadLidarsr532	mon_day_time	green	green	orange	yellow	Orange	black	obs4MIPs.IPSL.CFMIP-Obs-CALIPSO.cfadLidarsr532.mon_day_time.v20110323|vesg.ipsl.polytechnique.fr	esgf-node.ipsl.upmc.fr	vesg.ipsl.polytechnique.fr
cfadLidarsr532	mon_night_time	green	green	orange	yellow	Orange	black	obs4MIPs.IPSL.CFMIP-Obs-CALIPSO.cfadLidarsr532.mon_night_time.v20110323|vesg.ipsl.polytechnique.fr	esgf-node.ipsl.upmc.fr	vesg.ipsl.polytechnique.fr
clcalipso	mon	green	green	yellow	yellow	Orange	black	obs4MIPs.IPSL.CFMIP-Obs-CALIPSO.clcalipso.mon.v20110323|vesg.ipsl.polytechnique.fr	esgf-node.ipsl.upmc.fr	vesg.ipsl.polytechnique.fr
